,temperatura,feelsLikeTemperature,vejo_greitis,windGust,windDirection,cloudCover,slegimasJuros,dregme,krituliai
temperatura,1.0,0.9996339546351412,0.23671863958141284,0.472495660527404,0.08525604822824023,-0.090140610800678,-0.023268031714691738,-0.8953288611653152,0.08251718335382996
feelsLikeTemperature,0.9996339546351412,1.0,0.24017854760053514,0.47658326965326026,0.08074109661034626,-0.08130988192358816,-0.03157834836471008,-0.8924869718147059,0.08627823688265429
vejo_greitis,0.23671863958141284,0.24017854760053514,1.0,0.8524155712240568,0.3701588987580301,0.09776415873328471,0.032989763232444694,-0.19176369524724063,0.17922997037629607
windGust,0.472495660527404,0.47658326965326026,0.8524155712240568,1.0,0.418320701980339,0.018254307069347084,-0.13307334747760266,-0.33728678745705826,0.3339866165823405
windDirection,0.08525604822824023,0.08074109661034626,0.3701588987580301,0.418320701980339,1.0,-0.34169268896011623,0.05866711656315686,-0.062775483299014,0.10177668230085403
cloudCover,-0.090140610800678,-0.08130988192358816,0.09776415873328471,0.018254307069347084,-0.34169268896011623,1.0,-0.020814712048175758,0.16112556738906803,0.0023129962828868605
slegimasJuros,-0.023268031714691738,-0.03157834836471008,0.032989763232444694,-0.13307334747760266,0.05866711656315686,-0.020814712048175758,1.0,-0.15477704392849928,-0.4168325785925498
dregme,-0.8953288611653152,-0.8924869718147059,-0.19176369524724063,-0.33728678745705826,-0.062775483299014,0.16112556738906803,-0.15477704392849928,1.0,0.13279627596398455
krituliai,0.08251718335382996,0.08627823688265429,0.17922997037629607,0.3339866165823405,0.10177668230085403,0.0023129962828868605,-0.4168325785925498,0.13279627596398455,1.0
